,YBAcm1,YBAcm2,YBAcm3,YBAcm4,YBAcm5,YBAcm6,YBAcm7,YBAcm8,YBAcm9,YBAcm10,YBAcm11,YBAcm12
Timestamp,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest,Open Interest
6/3/2025,241046,307931,321523,211070,190336,112107,90923,55190,5284,963,540,318
6/2/2025,254425,311750,318417,208165,184180,107889,87362,53561,5542,1036,569,318
5/30/2025,268571,310694,322589,207724,181514,107785,87514,53459,5130,963,560,308
5/29/2025,257417,306111,320322,211414,176507,106039,88265,52646,5064,963,560,308
5/28/2025,260707,305146,319084,209813,173150,107393,89428,52214,5091,963,560,308
5/27/2025,254833,295331,322203,205892,171522,107405,90199,51976,5341,963,560,308
5/26/2025,263310,294548,324372,204982,171192,106803,89394,52113,5356,963,560,308
5/23/2025,260503,292291,322087,207081,170793,104645,87532,51534,5002,963,510,290
5/22/2025,258226,291842,323284,204823,171674,103692,87465,50052,5391,967,510,290
5/21/2025,267569,287215,325347,205301,171161,101950,84094,49492,5576,1088,510,300
5/20/2025,292113,287379,320218,206118,167750,100904,82291,47139,5668,1182,510,293
5/19/2025,285173,273677,309306,202855,166703,99450,80267,46231,5670,1186,510,293
5/16/2025,298091,273960,311541,202299,166272,100206,79616,46549,5676,1207,510,311
5/15/2025,313551,286148,311523,203176,166977,100661,79024,45634,5601,1354,510,311
5/14/2025,314410,287203,307709,201845,168222,101713,78369,45327,5563,1353,510,311
5/13/2025,328975,295311,308807,200988,169302,103214,79442,45235,5603,1377,510,311
5/12/2025,324742,292515,298996,200947,168752,103474,77510,43749,5051,1333,555,351
5/9/2025,330537,291564,301070,198644,166699,101013,79168,42912,5053,1343,555,371
5/8/2025,332049,283078,295241,194263,163848,100409,79832,42634,4928,1343,556,405
5/7/2025,332236,286292,298783,194481,160023,99566,79493,43240,4878,1333,546,430
5/6/2025,327683,288641,297415,193538,158176,98466,79195,42626,4938,995,233,430
5/5/2025,329855,287368,296742,188290,157910,98402,78875,41921,4738,993,233,430
5/2/2025,331522,292996,296233,190866,158115,98438,79694,42815,4735,992,233,430
5/1/2025,335491,292084,288721,188857,155952,96630,79811,42078,3936,392,233,430
4/30/2025,331543,295634,287766,187176,154490,96398,78962,41675,3747,358,233,430
4/29/2025,320714,289006,283501,186456,152399,97379,77102,39708,3721,356,233,430
4/28/2025,321682,287307,278671,183601,151958,96344,77040,38467,3824,356,233,430
4/25/2025,314620,292323,280475,185844,149920,96999,76390,38427,3817,336,248,430
4/24/2025,314009,290967,284140,184772,150329,96501,76617,38465,3789,336,233,430
4/23/2025,320527,288940,280477,183728,151343,96452,76273,39006,3599,335,233,430
4/22/2025,324852,290463,274409,184275,151943,95561,75200,39179,3618,335,241,430
4/17/2025,317548,289297,274727,183181,151544,96069,78293,39254,3583,335,253,430
4/16/2025,323032,292487,275445,181922,151716,96238,80962,39380,3193,335,253,430
4/15/2025,313910,291491,274290,180206,151044,96594,79544,38872,2989,335,253,430
4/14/2025,310969,286652,276059,180031,149704,96410,76964,37695,2998,335,253,430
4/11/2025,320915,290295,282447,178068,147970,93085,76187,36399,3195,335,253,390
4/10/2025,312103,295822,281171,173068,148703,94909,76228,35220,3372,335,254,265
4/9/2025,299410,304263,289601,174236,148883,96107,73404,35096,3478,332,254,220
4/8/2025,297809,291478,277507,176865,148694,97345,76308,35445,3600,321,284,185
4/7/2025,289637,299319,288070,178799,154112,94758,76261,34637,3553,325,263,185
4/4/2025,285661,310344,296216,174587,143089,94018,76559,34406,3543,308,253,148
4/3/2025,268449,288060,279295,167392,141159,91453,78107,31919,2658,298,253,80
4/2/2025,292829,282216,278948,166247,142974,89216,78470,32072,2864,298,253,80
4/1/2025,285577,286158,281718,165174,139868,90732,76377,29112,2791,298,253,80
3/31/2025,275987,285050,278088,163277,138801,92772,77505,28769,2783,298,253,80
3/28/2025,270450,280297,280197,162655,135564,90995,76247,28681,2628,259,253,80
3/27/2025,273867,284409,275891,160600,134329,90250,75532,28554,2672,259,253,80
3/26/2025,282718,286595,271901,161636,133600,89936,75749,27963,2652,259,253,80
3/25/2025,276441,285045,266698,160398,133738,91741,74965,27026,2632,259,233,80
3/24/2025,277814,303526,264058,160721,133865,92594,78326,26617,2589,259,233,80
3/21/2025,282211,301179,258815,158793,127472,90545,78136,25099,2391,259,233,80
3/20/2025,283144,301131,255661,158704,123649,85758,77111,23790,2362,259,233,80
3/19/2025,266600,292696,243920,156920,120417,84936,75109,22278,1800,259,233,80
3/18/2025,266720,290926,244793,158032,120559,82939,75073,21773,1714,259,233,80
3/17/2025,261932,284121,239788,156352,114640,80023,74580,16819,1570,259,233,80
3/14/2025,263739,281684,238123,154557,113959,80009,73951,16875,1551,259,233,20
3/13/2025,212813,267256,275422,237886,152190,110069,79302,73481,16411,1559,259,233
3/12/2025,212813,264775,276006,234405,156612,110382,79634,72535,15737,1552,259,233
3/11/2025,212305,261941,278626,234488,146063,108074,78372,71760,14595,1544,259,233
3/10/2025,242965,270843,288312,235870,146171,106958,78617,70776,12856,1037,259,213
3/7/2025,239336,281552,274277,240138,143223,105175,78240,70455,7733,1018,259,192
3/6/2025,239255,275347,269264,238924,146288,107559,76189,69700,7567,1018,259,192
3/5/2025,254701,273739,274276,243284,149434,107920,75862,68472,7464,1018,259,192
3/4/2025,260384,270634,268027,243270,141884,108445,74216,67205,7453,928,259,157
3/3/2025,275365,278577,273034,242903,140690,115926,73384,67147,7465,928,259,157
2/28/2025,276290,276929,269711,244779,141265,118317,73561,69113,7451,928,259,157
2/27/2025,281667,281916,262563,247770,140283,119165,71738,69446,7443,928,259,157
2/26/2025,283813,288262,259512,255332,141628,123727,73030,67802,7131,928,259,157
2/25/2025,289364,292506,266577,253149,143038,122614,74048,67912,7095,876,259,157
2/24/2025,301762,297097,268252,252371,143719,124828,73862,68973,7042,877,259,157
2/21/2025,309420,299571,268558,251741,148005,127487,73225,70826,6982,876,259,157
2/20/2025,312307,298258,266625,247966,147101,127972,72213,69455,7026,876,269,157
2/19/2025,315099,288734,256212,238590,147276,124852,71180,67705,7125,876,269,157
2/18/2025,322305,292517,252344,239842,147409,123238,69487,65820,7131,876,269,157
2/17/2025,327494,272038,247094,231638,146541,118043,67057,64259,7166,876,269,157
2/14/2025,328152,274682,245662,232250,145138,118025,66730,64029,7164,881,269,157
2/13/2025,334425,276787,246170,237890,145231,117978,65868,63254,7143,941,269,157
2/12/2025,337824,271695,241507,230219,143942,113414,64490,62549,7079,941,269,157
2/11/2025,333543,266986,236117,223485,142043,110306,63521,61739,7058,941,269,157
2/10/2025,328148,271236,234487,224963,140749,109108,63501,61558,7076,941,269,157
2/7/2025,329655,269779,228898,225349,138915,108023,63156,61067,7075,891,269,157
2/6/2025,329849,265853,228828,230626,138368,108072,62873,60223,7014,756,282,137
2/5/2025,334197,268295,231365,226879,138671,107747,63387,59180,7077,756,282,137
2/4/2025,334944,260918,228659,224637,138527,105923,63951,57679,7017,659,282,137
2/3/2025,333816,256764,225813,225586,138307,106069,64845,56522,6993,659,282,137
1/31/2025,324242,258709,223863,215557,141034,106674,63653,55585,7349,656,282,137
1/30/2025,327227,265193,226195,216481,141647,106698,63426,53223,7317,656,282,137
1/29/2025,335065,265171,228179,216306,142853,107039,63833,52217,7296,656,282,137
1/28/2025,330897,262670,228741,218257,142697,106185,65266,51057,7290,656,282,137
1/27/2025,330268,268273,229578,217273,142079,103847,64253,50082,7250,676,282,137
1/24/2025,331700,268099,228568,216356,142001,104022,64472,49815,7208,676,282,137
1/23/2025,332293,269000,231434,218737,141966,104261,65134,49713,7124,721,282,137
1/22/2025,336502,268903,229370,219900,141949,104262,65794,48932,6955,721,282,137
1/21/2025,335006,268503,227657,223503,140059,103659,66465,48573,6881,712,282,137
1/20/2025,337690,271451,228687,223801,140024,106510,68032,48117,6541,712,282,137
1/17/2025,339176,274911,230608,232394,141292,104634,67819,48284,6321,712,282,137
1/16/2025,347443,274354,228848,231699,147994,103804,66987,52632,6069,660,282,131
1/15/2025,344115,271581,229079,233606,148870,101510,68012,50666,6055,592,282,131
1/14/2025,349193,273897,230661,233425,148962,100357,66558,48746,6121,591,282,131
1/13/2025,350644,271292,228037,229070,144884,98880,63539,47905,6487,557,282,131
1/10/2025,347912,258390,224970,223978,145141,98536,63947,46756,6129,552,272,131
1/9/2025,344919,256534,224772,221128,141958,99266,63669,46460,5768,552,272,131
1/8/2025,344069,255302,221312,221296,152166,103313,62834,40737,5406,562,272,131
1/7/2025,340797,254695,219619,210389,149514,100110,61995,38306,4930,552,272,131
1/6/2025,332954,246940,216342,205174,144352,99072,61082,38231,4923,552,272,131
1/3/2025,329517,243772,219325,203907,141436,99495,59848,38115,4321,542,272,131
1/2/2025,336805,240556,217925,203522,143829,96184,59400,34559,4244,542,236,131
12/31/2024,333329,239902,217987,203217,143061,96818,59468,33704,4058,547,236,131
12/30/2024,333821,239934,218215,203174,143196,96235,56505,26622,3945,592,236,141
12/27/2024,338474,236237,217404,201921,142449,94862,55800,25249,3926,592,236,141
12/24/2024,346540,237364,217082,201781,143605,97703,56618,24539,3926,592,236,141
12/23/2024,345594,235989,217243,202759,143132,97610,57299,23844,3927,592,236,141
12/20/2024,346884,234807,218627,201495,142323,95879,57781,23707,3928,592,236,141
12/19/2024,341573,224688,219753,194662,140320,92195,56732,22896,3958,592,236,181
12/18/2024,334296,221410,217049,188703,133779,89482,52743,21289,3861,593,236,181
12/17/2024,327866,212998,218186,186581,133269,90781,53280,21657,3861,568,236,181
12/16/2024,326494,210473,218624,186830,133935,88676,53145,21366,3941,618,236,181
12/13/2024,328402,209471,220676,188205,132928,88125,51873,20024,3878,618,241,161
12/12/2024,221213,334296,210272,217117,182189,129406,87805,51965,18804,3889,619,255
12/11/2024,221213,328026,214761,209019,180243,132108,87057,50775,14275,3367,652,275
12/10/2024,232244,331592,223421,207689,182315,134047,87462,50747,13407,3099,652,275
12/9/2024,233434,319593,221204,203404,179191,131284,87156,50937,12029,3121,652,421
12/6/2024,234008,316198,222429,202794,181414,130537,87499,49899,12143,3121,652,421
12/5/2024,236955,309254,225620,203823,183005,130800,87587,49913,12015,3121,652,541
12/4/2024,246195,318620,223545,201397,187133,131202,87549,51046,11645,3050,640,541
12/3/2024,254209,313281,214445,199489,183619,128676,86606,50298,11439,2678,597,541
12/2/2024,257153,313847,219551,199657,184715,130483,86054,50601,11286,2678,597,542
11/29/2024,259982,310714,212694,202707,189115,140606,86184,48987,11298,2728,577,542
11/28/2024,260394,314048,212272,203862,185406,146085,87235,49057,10622,2761,567,542
11/27/2024,274564,315929,212262,203383,188321,148449,90073,49400,10188,2762,567,542
11/26/2024,273489,314695,208850,203031,185006,146980,90164,50734,9691,2761,557,542
11/25/2024,274255,314506,207971,202380,188911,145596,90176,51335,9583,2761,557,542
11/22/2024,274061,314083,203716,198853,186535,145686,89999,51530,9652,2758,559,542
11/21/2024,276048,314549,203548,196154,184005,146312,89608,51305,9659,2758,554,542
11/20/2024,274345,314735,204086,193756,183783,145632,89905,51636,9766,2859,554,542
11/19/2024,268859,314228,199885,197484,181835,142787,89077,51535,9816,2897,546,542
11/18/2024,267643,308913,194873,196771,186816,144013,89808,51448,9681,2904,546,542
11/15/2024,266833,308251,191881,196495,183918,143411,90323,50329,9695,2880,546,542
11/14/2024,280047,299836,186996,197586,183526,143653,86004,49336,9562,2846,546,542
11/13/2024,275551,293252,182128,196375,187190,142230,88022,48009,9562,2846,546,522
11/12/2024,274484,284704,180397,191819,182046,141736,84424,46697,9676,2872,546,522
11/11/2024,280038,270519,178805,191276,180070,139924,84167,45613,9392,2872,546,517
11/8/2024,278819,266750,177068,189935,181078,138242,84828,45068,9397,2903,546,512
11/7/2024,280234,264864,173200,185690,179701,140784,84034,45146,9421,2938,546,612
11/6/2024,283939,261664,179708,185749,181847,139079,84395,44840,9422,2941,543,612
11/5/2024,284679,263637,182861,180238,178076,135543,85657,43429,9629,2941,543,622
11/4/2024,295917,266558,181561,177834,175077,135905,86168,42970,9662,2899,543,622
11/1/2024,296914,264624,175277,175167,172380,131819,84762,42566,9682,2916,543,622
10/31/2024,299833,256242,172703,177488,171447,133150,84614,42271,9676,2916,543,622
10/30/2024,313661,252271,169584,176938,170776,133965,82670,41941,9690,2916,543,622
10/29/2024,308629,244599,164316,172894,173581,132727,82408,41612,9721,2916,543,622
10/28/2024,301881,248519,163413,172131,174101,133080,81401,41765,9770,2916,543,622
10/25/2024,302480,242625,160409,170918,175277,131838,81343,41837,9784,2917,543,622
10/24/2024,305918,241597,162415,169586,175787,132007,80137,43717,9754,2939,540,622
10/23/2024,311180,244173,156466,168989,176649,136041,79512,41307,9721,2962,507,622
10/22/2024,307460,238559,152577,167291,175442,139024,78067,40718,9848,2962,507,621
10/21/2024,311113,235453,148111,164672,171216,132070,75744,40069,9843,2962,485,621
10/18/2024,310304,235366,153052,165327,169175,134045,76431,39732,9884,2962,485,621
10/17/2024,313040,232970,153386,164797,165918,130445,75557,38827,9860,2962,485,621
10/16/2024,306574,222811,149568,164393,160183,125791,74816,37142,9810,2962,485,621
10/15/2024,303411,220558,149027,163264,160361,123726,74712,36889,9821,2962,485,621
10/14/2024,308081,215860,144339,162801,157862,123365,73247,36945,9903,2962,485,621
10/11/2024,309135,212412,143517,159987,155001,121531,73122,36110,9961,2962,485,621
10/10/2024,309271,211061,140477,160008,151967,120450,70355,34830,9770,2552,505,621
10/9/2024,314408,209220,138964,158685,151914,120297,69519,35772,10250,2539,555,605
10/8/2024,312286,206353,141660,160635,149372,119928,69016,35221,10325,2539,565,605
10/7/2024,311732,204351,132725,155877,147333,120701,63507,35211,10336,2565,714,605
10/4/2024,303479,199721,131678,154034,147271,117994,60063,35427,10315,2520,714,313
10/3/2024,306161,201065,131529,153667,145340,117695,58131,35131,10250,2333,714,313
10/2/2024,302587,199914,134031,153641,143977,116077,57628,35277,10184,2333,714,248
10/1/2024,309466,204101,136956,153531,142967,115703,58533,35998,10192,2333,714,248
9/30/2024,305462,201266,137336,153211,143713,112540,58730,35605,10149,2333,714,228
9/27/2024,312318,203238,142174,154122,147021,114170,59852,35584,9983,2233,714,228
9/26/2024,321923,209875,144378,153147,146766,112827,59056,35575,9831,2120,714,228
9/25/2024,319614,201264,149376,150488,148721,112996,59175,33980,9726,2120,714,228
9/24/2024,321233,201036,147944,150199,156570,111479,58929,34606,9558,1863,714,203
9/23/2024,317643,196682,151182,154896,156033,110102,58945,33635,9728,1863,714,203
9/20/2024,322044,197842,148356,153997,156695,111232,59747,33751,8829,1807,714,153
9/19/2024,324811,198394,149421,157835,158203,111260,59223,33651,9043,1807,714,93
9/18/2024,317139,200575,151840,156039,157792,112445,58967,34251,8773,1202,714,53
9/17/2024,325541,199850,144847,154859,154673,112186,58898,34038,8808,1202,714,53
9/16/2024,320309,198554,142265,152912,155762,110741,56770,32273,8454,1202,714,33
9/13/2024,316318,194971,138736,152396,153385,107970,56977,30305,8015,1202,714,33
9/12/2024,194589,315766,191733,133161,150218,152737,110164,57936,29546,7882,1124,714
9/11/2024,194589,316454,192120,133527,149971,152132,108623,59601,26650,8009,1124,714
9/10/2024,190137,271412,174666,114371,150675,151500,103398,56148,27144,10964,1094,694
9/9/2024,211250,315397,191509,129063,149711,153826,103824,62087,15072,4680,1094,694
9/6/2024,207366,307378,183389,128683,148157,149913,99411,61686,15865,3767,1094,694
9/5/2024,211719,304216,182381,129250,145429,149177,97446,60355,15837,3697,1074,694
9/4/2024,212085,301454,182491,130150,142651,143859,98086,60847,15849,3432,1004,694
9/3/2024,218148,296972,179429,140292,142177,141169,96120,61116,11938,3435,984,684
9/2/2024,220586,291580,173314,139388,140786,140517,93496,61596,9779,3415,974,664
8/30/2024,220012,290762,173141,141341,140629,140939,93603,62279,9469,3415,974,664
8/29/2024,226556,293359,171979,139751,139771,139549,93213,62102,8204,3189,970,644
8/28/2024,229868,288018,179365,139546,137993,137118,92471,59504,7068,2789,960,584
8/27/2024,233028,279750,178725,138393,138037,131380,91782,59821,5973,2539,960,584
8/26/2024,244451,278817,183637,135456,138372,124104,91300,59750,5973,2514,950,584
8/23/2024,247765,273646,182669,133271,137556,123058,89982,58152,4454,2154,908,534
8/22/2024,249774,271836,183358,134211,135297,122005,88860,58051,4419,2154,873,534
8/21/2024,255098,272924,182695,136940,134569,118432,88912,57591,4483,2114,873,534
8/20/2024,270754,267978,177364,135684,137156,117082,88252,57053,4474,2114,873,437
8/19/2024,279674,267674,173958,135249,138710,116940,87426,56348,4472,2114,873,437
8/16/2024,278974,267537,174577,134356,139088,117077,87781,55382,4495,2102,873,437
8/15/2024,273024,265358,173273,131495,138380,115115,89122,54529,4517,2082,813,241
8/14/2024,269745,257775,170396,129836,136309,116554,87385,56215,4839,2057,813,212
8/13/2024,272781,257450,166072,127020,133459,114780,86380,56949,4964,2065,787,212
8/12/2024,281458,254418,166636,127035,129689,113724,85635,57361,4982,2065,787,212
8/9/2024,279825,257663,167910,128420,127493,111659,85255,57397,4949,2194,787,212
8/8/2024,282373,259906,169405,129017,126887,114859,86548,57389,5835,2360,787,212
8/7/2024,288562,256692,169501,133885,127919,114468,85310,57538,6868,2086,787,212
8/6/2024,304235,267173,176059,134484,128919,113674,85086,52915,6732,2148,787,212
8/5/2024,301918,266353,164111,133448,119623,112630,82059,51210,6676,2149,766,212
8/2/2024,300086,261670,166204,130236,116956,111400,82473,54498,6688,2118,718,212
8/1/2024,297847,269421,162963,129856,113965,110508,82091,54421,6664,2118,718,212
7/31/2024,303948,270385,166636,131999,111477,112711,84126,57461,6503,2102,718,212
7/30/2024,307702,264696,165010,121586,112861,107038,84321,53713,6179,2142,718,212
7/29/2024,312169,258374,162182,120720,109090,108073,83396,52715,6177,2142,718,212
7/26/2024,309188,254317,159317,117414,110367,105378,81761,49613,5995,2142,718,212
7/25/2024,311995,254195,158123,120020,111331,101783,82322,49160,5895,1872,702,212
7/24/2024,310161,255264,158513,120202,108814,101463,80681,48553,3780,1749,636,212
7/23/2024,314069,254494,157513,124956,107632,95589,80746,48553,3565,1677,635,212
7/22/2024,314025,254631,153282,122737,104933,97051,80263,48036,3254,1657,635,212
7/19/2024,318591,259510,152917,124859,105753,100761,83416,48577,3308,1657,635,212
7/18/2024,316181,251624,151743,120818,105763,98228,82538,47907,3333,1577,635,212
7/17/2024,318870,253452,154834,119635,104989,96587,81431,52897,3795,1261,509,66
7/16/2024,317583,254885,154823,120914,103135,101853,79336,42162,3762,1062,509,57
7/15/2024,312280,251220,157377,123377,101742,97709,77409,42197,3758,1041,509,57
7/12/2024,318097,251758,154394,122437,101799,99078,77320,41795,3748,1041,509,57
7/11/2024,315480,248926,154096,119966,100870,97740,76888,39499,3684,1041,509,57
7/10/2024,315378,247769,155925,119500,100843,97234,76802,39092,3740,1016,509,57
7/9/2024,319464,243465,152886,118156,99761,98690,76783,36565,3702,1016,509,57
7/8/2024,316855,243317,154655,115485,98504,97078,76588,36280,3652,1016,509,57
7/5/2024,319312,242757,154575,116596,98828,94618,76316,36917,3638,1016,509,57
7/4/2024,320430,248206,154459,117037,98663,99400,75861,36190,3637,1016,509,57
7/3/2024,321014,249957,155454,115712,98069,99398,77045,36458,3542,989,509,57
7/2/2024,318817,249571,153391,114791,98543,97711,75699,36022,3503,989,509,57
7/1/2024,328820,247363,148591,112123,98299,94598,71180,35125,3118,989,509,57
6/28/2024,321179,246827,145106,110147,93815,94494,70534,34044,2994,989,509,57
6/27/2024,318795,250116,141865,110734,90516,92299,68975,33819,2894,943,515,57
6/26/2024,327449,253805,141332,109912,88049,86550,69814,31822,2759,943,515,34
6/25/2024,315898,258229,141518,109636,87020,89389,67205,30631,2547,856,386,34
6/24/2024,310525,255776,141555,112340,86127,88077,64622,30640,2547,856,386,34
6/21/2024,309057,253719,143858,111569,87713,88348,63739,30109,2539,856,386,34
6/20/2024,309496,247709,138886,111537,87053,87361,62620,29657,2469,831,374,24
6/19/2024,317312,252897,136767,111932,85498,88285,61476,28067,2394,831,224,24
6/18/2024,320157,251428,135904,113316,83462,90504,62986,26144,2369,831,224,24
6/17/2024,317640,248032,138592,112404,84547,94727,63813,20508,2207,654,224,24
6/14/2024,323878,238003,137336,113386,85432,99500,62887,18642,2238,602,224,20
6/13/2024,210967,324374,238775,136536,114409,90876,100011,62457,18350,2248,600,224
6/12/2024,210967,311470,237746,133208,113538,90028,99490,63542,15553,1870,600,224
6/11/2024,214953,308302,230587,131285,115220,90878,98507,63928,14375,1830,600,224
6/10/2024,219144,311998,233547,132193,115481,89056,99610,64379,14401,1830,600,224
6/7/2024,224299,310262,233837,131025,117284,88883,99345,64742,13876,1830,600,224
6/6/2024,225843,309771,238225,132079,120361,89461,99447,63151,13696,1780,594,245
6/5/2024,231712,313845,240966,139212,120768,89240,99050,63716,13154,1780,594,245
6/4/2024,231003,311450,234216,143959,111897,90193,100391,63516,12452,1780,594,245
6/3/2024,233491,307294,232647,142868,112090,87897,101747,60042,12316,1780,594,245
5/31/2024,240059,312770,236686,140969,116904,87655,99247,59178,12180,1780,569,245
5/30/2024,236531,312307,239716,141025,117076,84207,97055,58879,12524,1551,519,245
5/29/2024,236995,312251,247742,146590,117084,80921,94287,58316,10094,757,375,106
5/28/2024,236728,306171,243060,144422,117291,80186,91134,56495,7911,752,370,95
5/27/2024,238488,308018,239483,145792,116263,80286,89082,54296,7249,748,368,93
5/24/2024,238808,308260,237372,145254,115299,82696,89525,53849,6184,748,368,93
5/23/2024,243264,310913,231670,145506,115804,83023,89009,53164,6169,742,368,93
5/22/2024,248416,307952,231362,145439,116447,81609,88243,52527,5512,659,368,93
5/21/2024,241853,313572,237605,140949,116266,81982,83837,51144,5509,649,368,93
5/20/2024,238843,310209,237070,137921,113520,81710,82982,50837,5476,649,368,93
5/17/2024,246811,322369,242380,137051,116348,82219,86566,50995,5576,649,368,93
5/16/2024,257303,320185,251698,139905,113406,84802,86765,50303,5695,619,368,93
5/15/2024,271057,322335,248888,136884,111561,89093,84353,49719,5709,619,368,93
5/14/2024,266452,318796,254083,136839,112994,87972,84563,49211,5544,619,333,93
5/13/2024,266599,317245,250697,138020,111979,90165,84470,49274,5172,531,333,93
5/10/2024,267585,322406,255147,136965,112772,93375,83691,49569,5162,531,333,93
5/9/2024,266985,323166,257634,140040,113929,92943,83087,49165,5112,531,333,93
5/8/2024,269271,323146,259562,138339,111153,94174,87885,49648,5092,525,312,93
5/7/2024,273390,316210,263524,142114,112957,93123,90364,49864,5092,548,335,93
5/6/2024,260162,312323,267363,141571,111021,93451,96313,49943,5091,573,335,93
5/3/2024,262082,309736,269108,140985,110488,94262,99091,51340,5233,519,335,93
5/2/2024,263648,304055,264609,141353,109320,96176,101077,50636,5203,521,310,93
5/1/2024,262397,303071,260375,138610,109155,99756,100241,50741,5228,521,310,93
4/30/2024,259013,294866,260713,138164,109148,98997,100649,50579,4914,546,310,93
4/29/2024,265534,297082,260934,138541,109423,98301,100737,50963,4914,546,310,93
4/26/2024,260503,298231,266581,141569,111145,98514,103646,50664,4998,535,310,93
4/25/2024,258808,296065,268146,142042,110971,98307,104326,50467,5021,535,310,93
4/24/2024,270337,297549,266658,143084,111273,98494,105045,50324,5021,555,310,98
4/23/2024,277223,293156,268365,137703,114453,96760,106754,53376,4749,575,310,86
4/22/2024,279076,296409,269068,138194,115541,98613,107582,46963,4749,580,310,86
4/19/2024,288816,303709,267987,139497,119396,99913,108231,46968,4920,726,310,86
4/18/2024,284476,296340,273355,141865,124526,101544,108195,46218,4920,713,310,86
4/17/2024,282932,289413,265815,140033,122509,102038,105070,45819,4880,713,310,86
4/16/2024,284295,280444,254491,138054,120739,102248,97100,45871,4930,783,310,86
4/15/2024,290190,278980,259431,136704,120915,97857,94244,44897,4765,803,310,86
4/12/2024,295084,285624,258102,140666,118914,98501,92626,44697,4702,873,310,86
4/11/2024,291667,271504,248468,135252,115936,101469,92306,43846,4682,842,310,86
4/10/2024,288190,257779,245354,131419,116320,99618,94568,43226,4597,842,310,76
4/9/2024,285982,255118,242668,131988,114469,98732,92385,42352,4512,842,310,76
4/8/2024,287156,254232,241373,130722,120487,96377,90644,41047,4478,842,310,76
4/5/2024,289330,256231,240804,128089,115140,96166,87888,41137,4413,839,310,76
4/4/2024,287451,252387,235997,124863,114912,94356,88804,40814,4327,839,310,76
4/3/2024,297883,255215,229905,127729,113661,93633,87610,40103,4327,839,310,76
4/2/2024,298119,249742,224019,129381,110813,90804,84946,36874,4302,839,310,76
3/28/2024,297512,250097,222362,128834,109376,90511,80562,35437,4302,835,310,76
3/27/2024,297968,249459,226107,130755,105961,93345,84770,34750,4212,815,321,76
3/26/2024,300556,244620,219469,129689,104323,96320,83453,33154,4212,815,321,76
3/25/2024,299722,241059,219371,128397,103899,96382,84048,32890,4212,815,321,76
3/22/2024,302876,241800,219876,127817,104473,96561,83292,31011,4112,835,321,76
3/21/2024,307170,235435,221440,125914,104921,95734,83360,27261,3515,835,321,76
3/20/2024,314901,235791,223004,125261,104747,94678,84604,27285,3188,835,321,16
3/19/2024,314667,234110,218065,126174,105621,91280,84071,24983,3188,835,321,16
3/18/2024,319052,232488,216938,124496,107453,88537,82931,23827,3157,814,321,16
3/15/2024,313722,230545,217366,123661,105472,85262,81965,24053,3094,814,321,16
3/14/2024,311584,232024,210540,126755,101242,82932,78561,23989,3153,744,321,16
3/13/2024,315192,231698,210017,125928,101309,82931,78209,24118,3084,744,321,16
3/12/2024,319732,228696,210209,123845,105056,80847,77776,21540,2960,744,321,16
3/11/2024,312943,229023,213832,123640,104923,81668,78695,20862,2950,744,321,16
3/8/2024,311625,227232,212973,123272,105804,80894,77430,20096,2604,787,321,16
3/7/2024,160096,309428,227838,214345,123714,106688,81050,78995,19492,2374,787,321
3/6/2024,160096,317203,229865,214087,123032,107373,81531,83085,16432,1948,733,321
3/5/2024,167615,323201,230221,211450,121960,106128,80022,83214,12584,1789,733,321
3/4/2024,176674,318187,224950,210275,120118,105936,78833,83822,9853,1789,733,321
3/1/2024,191602,322410,223814,213496,121555,107267,78925,84953,8607,1675,733,321
2/29/2024,195087,312288,223147,214217,122089,106803,81168,85194,8603,1585,733,321
2/28/2024,196088,321211,223553,220449,122045,106167,81860,82382,8224,1378,708,321
2/27/2024,197925,320578,216728,216967,123163,104453,82418,82340,7109,1295,658,321
2/26/2024,203595,323805,212518,215485,121249,104372,82626,81288,6843,1077,658,321
2/23/2024,217557,328394,207923,214169,117605,104091,80273,80402,6810,896,638,321
2/22/2024,225943,322270,203349,212846,117299,104655,77564,78864,6801,896,638,321
2/21/2024,247491,319763,205338,213990,119822,103240,77084,77677,6755,887,638,321
2/20/2024,250035,315226,201441,210547,118621,105762,75003,77426,6467,890,638,321
2/19/2024,250867,313866,201337,210433,118098,105757,74623,76901,6367,890,638,321
2/16/2024,261540,312861,202052,207821,116549,106133,74466,75975,6367,890,638,321
2/15/2024,265378,311491,204055,208561,118084,107700,74429,75230,6304,890,638,321
2/14/2024,260188,309464,200368,206517,117257,108175,72387,72569,6304,893,638,321
2/13/2024,251729,301902,197579,200826,117605,102819,68707,70240,6330,893,638,321
2/12/2024,251626,300220,196082,199253,115992,103111,69585,69756,6264,937,638,321
2/9/2024,248918,299524,196487,197884,116060,104372,69514,69217,6294,937,638,321
2/8/2024,249523,297033,196189,196553,116555,103476,64936,67609,6294,937,638,321
2/7/2024,254224,299310,198666,197920,115061,103397,66372,67271,6294,937,638,321
2/6/2024,253490,299331,199786,197904,114896,105208,65290,66055,6294,937,638,321
2/5/2024,269802,294724,201402,195642,118086,105171,64501,62512,5766,937,638,299
2/2/2024,272532,293381,202844,196694,117655,111651,62289,61650,5751,923,638,299
